attack,defense,hp,iconPokemon,id,name,spAttack,spDefense,speed,total,typePokemon
41,40,38,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,0037,Vulpix,50,65,65,299,Ice
76,75,73,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,0038,Ninetales,81,100,100,505,Fire
67,75,73,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,0038,Ninetales,81,100,109,505,"Ice,Fairy"
45,20,115,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,0039,Jigglypuff,45,25,20,270,"Normal,Fairy"
70,45,140,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,0040,Wigglytuff,85,50,45,435,"Normal,Fairy"
45,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,0041,Zubat,30,40,55,245,"Poison,Flying"
80,70,75,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,0042,Golbat,65,75,90,455,"Poison,Flying"
50,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,0043,Oddish,75,65,30,320,"Grass,Poison"
65,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,0044,Gloom,85,75,40,395,"Grass,Poison"
80,85,75,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,0045,Vileplume,110,90,50,490,"Grass,Poison"
70,55,35,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,0046,Paras,45,55,25,285,"Bug,Grass"
95,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,0047,Parasect,60,80,30,405,"Bug,Grass"
55,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,0048,Venonat,40,55,45,305,"Bug,Poison"
65,60,70,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,0049,Venomoth,90,75,90,450,"Bug,Poison"
55,25,10,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,0050,Diglett,35,45,95,265,Ground
55,30,10,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,0050,Diglett,35,45,90,265,"Ground,Steel"
100,50,35,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,0051,Dugtrio,50,70,120,425,Ground
100,60,35,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,0051,Dugtrio,50,70,110,425,"Ground,Steel"
45,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,0052,Meowth,40,40,90,290,Normal
35,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,0052,Meowth,50,40,90,290,Dark
65,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,0052,Meowth,40,40,40,290,Steel
70,60,65,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,0053,Persian,65,65,115,440,Normal
60,60,65,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,0053,Persian,75,65,115,440,Dark
52,48,50,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,0054,Psyduck,65,50,55,320,Water
82,78,80,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,0055,Golduck,95,80,85,500,Water
80,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,0056,Mankey,35,45,70,305,Fighting
105,60,65,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,0057,Primeape,60,70,95,455,Fighting
70,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,0058,Growlithe,70,50,60,350,Fire
75,45,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png,0058,Growlithe,65,50,55,350,"Fire,Rock"
110,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,0059,Arcanine,100,80,95,555,Fire
115,80,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png,0059,Arcanine,95,80,90,555,"Fire,Rock"
50,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,0060,Poliwag,40,40,90,300,Water
65,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,0061,Poliwhirl,50,50,90,385,Water
95,95,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,0062,Poliwrath,70,90,70,510,"Water,Fighting"
20,15,25,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,0063,Abra,105,55,90,310,Psychic
35,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,0064,Kadabra,120,70,105,400,Psychic
50,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,0065,Alakazam,135,95,120,500,Psychic
50,65,55,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,0065,Alakazam,175,105,150,600,Psychic
80,50,70,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,0066,Machop,35,35,35,305,Fighting
100,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,0067,Machoke,50,60,45,405,Fighting
130,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,0068,Machamp,65,85,55,505,Fighting
75,35,50,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,0069,Bellsprout,70,30,40,300,"Grass,Poison"
90,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,0070,Weepinbell,85,45,55,390,"Grass,Poison"
105,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,0071,Victreebel,100,70,70,490,"Grass,Poison"
40,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,0072,Tentacool,50,100,70,335,"Water,Poison"
70,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,0073,Tentacruel,80,120,100,515,"Water,Poison"
80,100,40,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,0074,Geodude,30,30,20,300,"Rock,Ground"
80,100,40,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,0074,Geodude,30,30,20,300,"Rock,Electric"
95,115,55,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,0075,Graveler,45,45,35,390,"Rock,Ground"
95,115,55,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,0075,Graveler,45,45,35,390,"Rock,Electric"
120,130,80,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,0076,Golem,55,65,45,495,"Rock,Ground"
120,130,80,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,0076,Golem,55,65,45,495,"Rock,Electric"
85,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,0077,Ponyta,65,65,90,410,Fire
85,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,0077,Ponyta,65,65,90,410,Psychic
100,70,65,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,0078,Rapidash,80,80,105,500,Fire
100,70,65,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,0078,Rapidash,80,80,105,500,"Psychic,Fairy"
65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,0079,Slowpoke,40,40,15,315,"Water,Psychic"
65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,0079,Slowpoke,40,40,15,315,Psychic
75,110,95,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,0080,Slowbro,100,80,30,490,"Water,Psychic"
75,180,95,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,0080,Slowbro,130,80,30,590,"Water,Psychic"
100,95,95,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,0080,Slowbro,100,70,30,490,"Poison,Psychic"
35,70,25,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,0081,Magnemite,95,55,45,325,"Electric,Steel"
60,95,50,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,0082,Magneton,120,70,70,465,"Electric,Steel"
90,55,52,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,0083,Farfetch'd,58,62,60,377,"Normal,Flying"
95,55,52,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,0083,Farfetch'd,58,62,55,377,Fighting
85,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,0084,Doduo,35,35,75,310,"Normal,Flying"
110,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,0085,Dodrio,60,60,110,470,"Normal,Flying"
45,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,0086,Seel,45,70,45,325,Water
70,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,0087,Dewgong,70,95,70,475,"Water,Ice"
80,50,80,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,0088,Grimer,40,50,25,325,Poison
80,50,80,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,0088,Grimer,40,50,25,325,"Poison,Dark"
105,75,105,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,0089,Muk,65,100,50,500,Poison
105,75,105,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,0089,Muk,65,100,50,500,"Poison,Dark"
65,100,30,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,0090,Shellder,45,25,40,305,Water
95,180,50,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,0091,Cloyster,85,45,70,525,"Water,Ice"
35,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,0092,Gastly,100,35,80,310,"Ghost,Poison"
50,45,45,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,0093,Haunter,115,55,95,405,"Ghost,Poison"
65,60,60,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,0094,Gengar,130,75,110,500,"Ghost,Poison"
65,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png,0094,Gengar,170,95,130,600,"Ghost,Poison"
45,160,35,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,0095,Onix,30,45,70,385,"Rock,Ground"
48,45,60,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,0096,Drowzee,43,90,42,328,Psychic
73,70,85,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,0097,Hypno,73,115,67,483,Psychic
105,90,30,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,0098,Krabby,25,25,50,325,Water
130,115,55,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,0099,Kingler,50,50,75,475,Water
30,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,0100,Voltorb,55,55,100,330,Electric
30,50,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb-hisuian.png,0100,Voltorb,55,55,100,330,"Electric,Grass"
50,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png,0101,Electrode,80,80,150,490,Electric
50,70,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode-hisuian.png,0101,Electrode,80,80,150,490,"Electric,Grass"
40,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png,0102,Exeggcute,60,45,40,325,"Grass,Psychic"
95,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,0103,Exeggutor,125,75,55,530,"Grass,Psychic"
105,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,0103,Exeggutor,125,75,45,530,"Grass,Dragon"
50,95,50,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png,0104,Cubone,40,50,35,320,Ground
80,110,60,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png,0105,Marowak,50,80,45,425,Ground
80,110,60,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,0105,Marowak,50,80,45,425,"Fire,Ghost"
120,53,50,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png,0106,Hitmonlee,35,110,87,455,Fighting
105,79,50,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png,0107,Hitmonchan,35,110,76,455,Fighting
55,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png,0108,Lickitung,60,75,30,385,Normal
65,95,40,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png,0109,Koffing,60,45,35,340,Poison
90,120,65,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png,0110,Weezing,85,70,60,490,Poison
90,120,65,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,0110,Weezing,85,70,60,490,"Poison,Fairy"
85,95,80,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png,0111,Rhyhorn,30,30,25,345,"Ground,Rock"
130,120,105,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png,0112,Rhydon,45,45,40,485,"Ground,Rock"
5,5,250,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,0113,Chansey,35,105,50,450,Normal
55,115,65,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png,0114,Tangela,100,40,60,435,Grass
95,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,0115,Kangaskhan,40,80,90,490,Normal
125,100,105,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png,0115,Kangaskhan,60,100,100,590,Normal
40,70,30,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png,0116,Horsea,70,25,60,295,Water
65,95,55,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png,0117,Seadra,95,45,85,440,Water
67,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png,0118,Goldeen,35,50,63,320,Water
92,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png,0119,Seaking,65,80,68,450,Water
45,55,30,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png,0120,Staryu,70,55,85,340,Water
75,85,60,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png,0121,Starmie,100,85,115,520,"Water,Psychic"
45,65,40,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png,0122,Mr. Mime,100,120,90,460,"Psychic,Fairy"
65,65,50,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png,0122,Mr. Mime,90,90,100,460,"Ice,Psychic"
110,80,70,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png,0123,Scyther,55,80,105,500,"Bug,Flying"
50,35,65,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png,0124,Jynx,115,95,95,455,"Ice,Psychic"
83,57,65,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png,0125,Electabuzz,95,85,105,490,Electric
95,57,65,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png,0126,Magmar,100,85,93,495,Fire
125,100,65,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png,0127,Pinsir,55,70,85,500,Bug
155,120,65,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png,0127,Pinsir,65,90,105,600,"Bug,Flying"
100,95,75,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,0128,Tauros,40,70,110,490,Normal
110,105,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean.png,0128,Tauros,30,70,100,490,Fighting
110,105,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-blaze.png,0128,Tauros,30,70,100,490,"Fighting,Fire"
110,105,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-aqua.png,0128,Tauros,30,70,100,490,"Fighting,Water"
10,55,20,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png,0129,Magikarp,15,20,80,200,Water
125,79,95,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png,0130,Gyarados,60,100,81,540,"Water,Flying"
155,109,95,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png,0130,Gyarados,70,130,81,640,"Water,Dark"
85,80,130,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png,0131,Lapras,85,95,60,535,"Water,Ice"
48,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png,0132,Ditto,48,48,48,288,Normal
55,50,55,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png,0133,Eevee,45,65,55,325,Normal
75,70,65,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png,0133,Eevee,65,85,75,435,Normal
65,60,130,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png,0134,Vaporeon,110,95,65,525,Water
65,60,65,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png,0135,Jolteon,110,95,130,525,Electric
130,60,65,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png,0136,Flareon,95,110,65,525,Fire
60,70,65,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png,0137,Porygon,85,75,40,395,Normal
40,100,35,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png,0138,Omanyte,90,55,35,355,"Rock,Water"
60,125,70,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png,0139,Omastar,115,70,55,495,"Rock,Water"
80,90,30,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png,0140,Kabuto,55,45,55,355,"Rock,Water"
115,105,60,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png,0141,Kabutops,65,70,80,495,"Rock,Water"
105,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png,0142,Aerodactyl,60,75,130,515,"Rock,Flying"
135,85,80,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png,0142,Aerodactyl,70,95,150,615,"Rock,Flying"
110,65,160,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png,0143,Snorlax,65,110,30,540,Normal
85,100,90,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png,0144,Articuno,95,125,85,580,"Ice,Flying"
85,85,90,https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png,0144,Articuno,125,100,95,580,"Psychic,Flying"
90,85,90,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png,0145,Zapdos,125,90,100,580,"Electric,Flying"
125,90,90,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png,0145,Zapdos,85,90,100,580,"Fighting,Flying"
100,90,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png,0146,Moltres,125,85,90,580,"Fire,Flying"
85,90,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png,0146,Moltres,100,125,90,580,"Dark,Flying"
64,45,41,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png,0147,Dratini,50,50,50,300,Dragon
84,65,61,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png,0148,Dragonair,70,70,70,420,Dragon
134,95,91,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png,0149,Dragonite,100,100,80,600,"Dragon,Flying"
110,90,106,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png,0150,Mewtwo,154,90,130,680,Psychic
190,100,106,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png,0150,Mewtwo,154,100,130,780,"Psychic,Fighting"
150,70,106,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png,0150,Mewtwo,194,120,140,780,Psychic
100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png,0151,Mew,100,100,100,600,Psychic
49,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png,0152,Chikorita,49,65,45,318,Grass
62,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png,0153,Bayleef,63,80,60,405,Grass
82,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png,0154,Meganium,83,100,80,525,Grass
52,43,39,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png,0155,Cyndaquil,60,50,65,309,Fire
64,58,58,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png,0156,Quilava,80,65,80,405,Fire
84,78,78,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png,0157,Typhlosion,109,85,100,534,Fire
84,78,73,https://img.pokemondb.net/sprites/scarlet-violet/icon/typhlosion-hisuian.png,0157,Typhlosion,119,85,95,534,"Fire,Ghost"
65,64,50,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png,0158,Totodile,44,48,43,314,Water
80,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png,0159,Croconaw,59,63,58,405,Water
105,100,85,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png,0160,Feraligatr,79,83,78,530,Water
46,34,35,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png,0161,Sentret,35,45,20,215,Normal
76,64,85,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png,0162,Furret,45,55,90,415,Normal
30,30,60,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png,0163,Hoothoot,36,56,50,262,"Normal,Flying"
50,50,100,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png,0164,Noctowl,86,96,70,452,"Normal,Flying"
20,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png,0165,Ledyba,40,80,55,265,"Bug,Flying"
35,50,55,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png,0166,Ledian,55,110,85,390,"Bug,Flying"
60,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png,0167,Spinarak,40,40,30,250,"Bug,Poison"
